,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,kununurra,-15.7667,128.7333,299.15,100,79,1.95,AU,1613163944
355,anchorage,61.2181,-149.9003,268.15,67,1,2.06,US,1613163942
356,nishihara,26.1842,127.7558,292.15,94,75,5.14,JP,1613163944
357,mecca,21.4267,39.8261,297.63,61,0,1.54,SA,1613163945
358,nabire,-3.3667,135.4833,297.56,88,83,1.91,ID,1613163945
359,opuwo,-18.0607,13.84,291.66,85,89,4.37,NA,1613163815
360,manali,13.1667,80.2667,296.15,78,20,1.03,IN,1613163946
361,krutinka,56.0055,71.5113,247.63,89,0,3.72,RU,1613163946
362,bollene,44.2848,4.753,277.15,87,90,5.66,FR,1613163946
363,yanam,16.7333,82.2167,291.88,79,82,0.34,IN,1613163946
364,sorland,67.667,12.6934,274.15,80,90,4.63,NO,1613163946
365,dickson,36.077,-87.3878,269.15,93,90,4.63,US,1613163946
366,pangody,65.85,74.4859,240.06,84,100,1.24,RU,1613163947
367,koutiala,12.3917,-5.4642,302.02,14,0,3.91,ML,1613163947
368,yinchuan,38.4681,106.2731,276.64,59,100,2.24,CN,1613163947
